"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","TestPredictBinary"
"1424","Male","NO","Yes","No",15,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.1,1504.05,1,1
"1427","Male","YES","Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","One year","Yes","Electronic check",92,6585.2,0,0
"1429","Male","NO","No","No",1,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",50.45,50.45,1,1
"1431","Female","NO","No","No",23,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",24.8,615.35,0,0
"1434","Male","NO","Yes","No",9,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",68.95,593.85,0,0
"1435","Male","NO","No","No",12,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",99.95,1132.75,1,1
"1442","Female","YES","Yes","No",58,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",97.8,5458.8,0,0
"1444","Male","NO","Yes","No",3,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","Yes","Mailed check",55.8,154.55,0,0
"1453","Male","YES","No","No",52,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",48.8,2555.05,0,0
"1454","Male","NO","No","No",31,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.5,2979.2,0,1
"1455","Male","NO","Yes","Yes",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.65,654.85,0,0
"1456","Female","NO","Yes","No",36,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",106.05,3834.4,0,0
"1464","Female","NO","No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,281,1,1
"1470","Male","NO","No","No",37,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",98.8,3475.55,1,0
"1471","Female","NO","No","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.2,156.85,0,0
"1474","Female","NO","No","No",24,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.75,2407.3,1,1
"1483","Female","YES","No","No",13,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",96.85,1235.55,0,1
"1486","Male","YES","No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",96.7,2082.95,1,1
"1487","Female","NO","No","No",2,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",55.05,102.75,1,0
"1491","Female","YES","Yes","No",66,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","One year","Yes","Bank transfer (automatic)",70.85,4738.85,0,0
"1492","Female","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.55,19.55,0,0
"1495","Female","NO","Yes","Yes",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.75,145,1,0
"1497","Male","NO","No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",20.25,61.45,0,0
"1502","Male","NO","No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.95,243.65,0,0
"1515","Female","NO","No","Yes",63,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.5,1215.1,0,0
"1518","Male","NO","Yes","No",56,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Electronic check",100.55,5514.95,0,0
"1520","Female","NO","No","No",2,"No","No phone service","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",42.6,72.4,1,1
"1521","Female","NO","Yes","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.6,55.25,0,0
"1522","Male","NO","No","No",37,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Electronic check",67.45,2443.3,0,0
"1524","Male","NO","No","No",8,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",43.55,335.4,0,0
"1525","Female","NO","No","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",109.85,7002.95,0,0
"1527","Female","NO","No","No",3,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",95.4,293.15,0,1
"1530","Female","NO","Yes","No",59,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",18.4,1057.85,0,0
"1534","Female","NO","No","No",14,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",75.35,1025.95,1,1
"1542","Male","NO","No","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.85,1434.1,0,0
"1543","Female","NO","No","No",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Electronic check",21.1,937.1,0,0
"1545","Male","NO","Yes","No",30,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",50,1474.9,0,0
"1548","Female","NO","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",107.5,6873.75,1,0
"1550","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.85,45.85,1,0
"1551","Male","YES","Yes","No",6,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",80.8,457.1,0,1
"1553","Female","NO","Yes","Yes",31,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",80.55,2471.6,0,0
"1554","Female","NO","Yes","Yes",39,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",81.5,3107.3,0,0
"1555","Male","NO","No","No",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.9,518.3,0,0
"1560","Female","NO","No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,45.3,0,0
"1568","Female","NO","Yes","No",10,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",67.8,653.15,0,0
"1569","Male","YES","No","No",11,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",111.4,1183.05,0,1
"1571","Female","NO","Yes","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.4,478.75,0,0
"1573","Female","YES","No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45,127.1,1,0
"1575","Female","NO","No","Yes",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,270.6,0,0
"1577","Female","YES","Yes","No",68,"Yes","No","DSL","No","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",60.65,3975.9,0,0
"1578","Female","NO","Yes","Yes",17,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",98.6,1704.95,1,0
"1580","Male","YES","Yes","No",12,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.45,950.2,1,1
"1583","Female","NO","Yes","Yes",56,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","One year","No","Bank transfer (automatic)",65.2,3512.15,0,0
"1584","Female","NO","Yes","Yes",6,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",48.95,273.25,0,0
"1590","Female","YES","No","No",7,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",64.95,493.65,0,1
"1592","Male","NO","No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)",21.1,385.55,0,0
"1598","Male","NO","Yes","No",48,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Bank transfer (automatic)",96.9,4473.45,0,0
"1602","Male","NO","Yes","No",46,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",94.65,4312.5,0,0
"1603","Male","NO","No","No",30,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.25,2755.35,1,1
"1610","Male","NO","Yes","No",51,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",111.55,5720.35,0,0
"1613","Male","NO","Yes","Yes",67,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",87.4,5918.8,1,0
"1617","Male","NO","Yes","Yes",53,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.4,1110.35,0,0
"1620","Male","NO","No","No",69,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",81.5,5553.25,0,0
"1621","Female","NO","Yes","Yes",2,"No","No phone service","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",29.05,44.75,0,0
"1626","Female","NO","Yes","No",9,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.75,655.9,1,1
"1629","Female","YES","Yes","No",30,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.05,2627.2,0,1
"1630","Male","NO","Yes","No",68,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Two year","No","Bank transfer (automatic)",70.95,4741.45,0,0
"1634","Female","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",43.8,43.8,0,0
"1637","Female","NO","No","No",48,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",24.35,1133.7,0,0
"1638","Male","NO","No","No",66,"No","No phone service","DSL","No","No","No","Yes","No","No","One year","No","Credit card (automatic)",29.45,1983.15,0,0
"1639","Female","NO","Yes","Yes",68,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Two year","Yes","Credit card (automatic)",84.4,5746.75,0,0
"1643","Female","NO","Yes","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.85,573.05,0,0
"1645","Female","NO","No","No",34,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",109.8,3587.25,1,0
"1646","Female","YES","No","No",42,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",84.65,3541.35,1,1
"1650","Female","NO","No","No",27,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Mailed check",56.15,1439.35,0,0
"1663","Male","NO","No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.75,324.6,1,1
"1668","Male","NO","No","No",14,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",24.8,321.7,0,0
"1672","Male","NO","Yes","Yes",66,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",103.15,7031.3,0,0
"1674","Female","NO","Yes","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",113.6,4594.95,1,0
"1679","Female","YES","Yes","No",67,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",105.4,7035.6,0,0
"1684","Male","NO","Yes","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.6,426.65,0,0
"1685","Female","NO","No","Yes",35,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",50.15,1655.35,0,0
"1689","Female","NO","No","No",40,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.15,804.85,0,0
"1692","Male","NO","Yes","Yes",60,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.65,1161.75,0,0
"1696","Male","NO","Yes","Yes",54,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","One year","Yes","Electronic check",70.7,3770,0,0
"1699","Male","NO","Yes","Yes",71,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Two year","Yes","Electronic check",84.8,6152.4,0,0
"1701","Male","NO","No","No",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.45,943,0,0
"1703","Female","NO","Yes","No",21,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.4,2200.25,1,1
"1708","Female","YES","No","No",3,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",73.85,196.4,0,1
"1713","Female","NO","No","No",29,"Yes","Yes","DSL","No","Yes","No","No","No","No","One year","Yes","Electronic check",55.25,1620.2,0,0
"1721","Female","YES","No","No",2,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",83.8,163.7,0,1
"1723","Female","NO","No","No",51,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",56.4,2928.5,0,0
"1724","Female","NO","Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.1,100.35,0,0
"1727","Male","NO","Yes","No",30,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",49.9,1441.95,0,0
"1728","Male","NO","No","No",31,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",71.05,2168.15,0,0
"1729","Female","NO","No","No",45,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",81.65,3618.7,0,0
"1730","Male","NO","Yes","No",64,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","No","Bank transfer (automatic)",89.45,5692.65,0,0
"1731","Male","NO","No","No",1,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",59.85,59.85,1,1
"1740","Male","NO","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.9,69.9,1,1
"1742","Male","NO","No","No",16,"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",71.4,1212.1,0,0
"1743","Female","NO","No","No",2,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",87.15,183.75,1,1
"1748","Female","NO","Yes","Yes",3,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",84.75,264.85,1,1
"1749","Female","NO","Yes","No",54,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.05,1102.4,0,0
"1751","Female","NO","No","No",50,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",89.7,4304.5,0,0
"1753","Male","NO","Yes","No",27,"Yes","No","DSL","Yes","No","No","No","No","No","One year","No","Credit card (automatic)",48.7,1421.75,0,0
"1761","Male","NO","Yes","Yes",50,"Yes","Yes","DSL","No","No","Yes","No","No","No","One year","No","Bank transfer (automatic)",54.9,2614.1,0,0
"1763","Male","NO","Yes","Yes",35,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.65,3161.6,0,0
"1764","Female","NO","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.4,80.95,0,1
"1771","Female","YES","No","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",113.2,4689.5,1,1
"1772","Male","YES","No","No",13,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.5,1201.15,1,1
"1773","Male","NO","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",79,143.65,1,1
"1774","Female","NO","Yes","Yes",68,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",19.35,1292.65,0,0
"1776","Male","YES","No","No",65,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",109.05,7108.2,0,0
"1779","Male","NO","Yes","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.75,1859.1,0,0
"1780","Female","NO","No","No",2,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",91.15,168.5,0,1
"1783","Female","YES","No","No",26,"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",66.05,1652.4,0,0
"1786","Male","NO","Yes","Yes",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",92.2,6392.85,0,0
"1789","Female","NO","Yes","No",57,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",19.6,1134.25,0,0
"1790","Male","NO","Yes","No",54,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.4,1621.35,0,0
"1791","Female","NO","No","No",12,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",78.1,947.3,1,0
"1795","Female","NO","Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",91.05,6293.75,0,0
"1800","Female","NO","No","No",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.7,973.25,1,1
"1809","Female","NO","No","No",23,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",79.15,1676.95,1,1
"1810","Male","YES","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85,2642.05,1,1
"1817","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.2,19.2,0,0
"1819","Male","NO","Yes","Yes",60,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",74.35,4453.3,0,0
"1820","Female","NO","Yes","Yes",61,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",51.35,3244.4,0,0
"1822","Male","YES","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",85.3,2661.1,1,1
"1825","Male","NO","Yes","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.3,1401.15,0,0
"1830","Male","NO","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.85,572.45,0,1
"1831","Male","NO","No","Yes",32,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.5,696.8,0,0
"1832","Female","YES","Yes","No",22,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Mailed check",63.55,1381.8,0,0
"1838","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",20.05,20.05,1,0
"1845","Male","NO","Yes","No",59,"Yes","No","DSL","Yes","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",66.4,3958.2,0,0
"1850","Male","NO","No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.55,402.6,1,0
"1851","Female","YES","Yes","No",47,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",67.45,3252,0,0
"1853","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",46.2,46.2,1,0
"1859","Female","NO","Yes","No",19,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.2,1441.1,1,0
"1860","Male","NO","No","No",52,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.35,4338.6,1,0
"1864","Male","NO","Yes","No",6,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",25.1,171,0,0
"1865","Female","YES","Yes","No",26,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","No","Mailed check",60.7,1597.4,0,0
"1866","Male","YES","No","No",48,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",99,4744.35,0,0
"1870","Male","NO","Yes","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.1,1734.65,0,0
"1876","Male","NO","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",114.1,8086.4,0,0
"1882","Male","NO","No","No",26,"No","No phone service","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",44.65,1156.55,0,0
"1883","Male","NO","Yes","Yes",29,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",60.2,1834.15,0,0
"1885","Male","NO","No","No",27,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",55.45,1477.65,0,0
"1887","Male","NO","Yes","Yes",67,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",60.4,3953.7,0,0
"1888","Female","NO","No","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",72.65,1194.3,1,1
"1896","Male","NO","No","Yes",68,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",86.5,5882.75,0,0
"1900","Male","NO","No","No",17,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.95,1612.2,0,0
"1905","Male","NO","No","No",56,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",94.45,5124.6,1,0
"1906","Female","NO","No","No",41,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",24.85,962.25,0,0
"1907","Male","NO","No","No",40,"No","No phone service","DSL","No","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",36,1382.9,0,0
"1914","Female","NO","No","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",95.5,6153.85,0,0
"1915","Female","NO","No","No",3,"Yes","Yes","DSL","No","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",64.6,174.2,0,0
"1916","Male","NO","No","No",24,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",51.1,1269.6,0,0
"1920","Male","NO","No","No",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",50.9,50.9,1,0
"1922","Male","NO","Yes","Yes",70,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.95,5931.75,0,0
"1932","Female","NO","Yes","No",53,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",111.8,5809.75,0,0
"1933","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,20.2,0,0
"1935","Female","NO","No","No",3,"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",79.1,246.5,1,1
"1936","Female","NO","No","No",51,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",19.85,996.95,0,0
"1937","Female","NO","Yes","No",51,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",60.5,3145.15,0,0
"1942","Male","NO","No","No",3,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","No","Mailed check",54.65,189.1,0,0
"1953","Female","NO","Yes","Yes",20,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.5,1916.2,0,0
"1955","Male","NO","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.45,75.45,1,1
"1960","Female","NO","Yes","Yes",5,"No","No phone service","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",34.25,163.55,0,0
"1963","Male","NO","No","No",23,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.95,2292.75,0,0
"1966","Male","NO","No","No",24,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.55,1210.4,1,0
"1967","Male","YES","No","No",24,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",54.8,1291.3,0,0
"1968","Male","NO","No","No",69,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",78.6,5356.45,1,0
"1970","Female","NO","No","No",60,"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Electronic check",53.6,3237.05,0,0
"1971","Female","NO","Yes","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",81.1,576.65,1,1
